budget,age,category,tag,review_score,diff,appid
B,B,Single-player,Action,6,81684,346110
B,B,Single-player,Action,8,265850,359550
A,A,Single-player,Action,8,265850,359550
A,A,Single-player,Action,8,265850,359550
C,A,Single-player,Action,8,265850,359550
C,A,Single-player,Action,8,265850,359550
C,A,Single-player,Action,8,265850,359550
C,A,Single-player,Action,6,81684,346110
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,265850,359550
A,B,Multi-player,Adventure,8,185082,252490
A,B,Multi-player,Adventure,8,185082,252490
A,B,Multi-player,Adventure,8,41246,1085660
A,A,Single-player,Adventure,8,41246,1085660
A,A,Single-player,Adventure,8,41246,1085660
A,A,Single-player,Adventure,8,41246,1085660
B,A,Single-player,Adventure,8,41246,1085660
B,A,Single-player,Adventure,8,41246,1085660
B,A,Single-player,Adventure,8,41246,1085660
B,B,Single-player,Adventure,8,41246,1085660
B,B,Single-player,Adventure,8,41246,1085660
B,B,Single-player,Adventure,8,41246,1085660
C,A,Single-player,Casual,8,2374,304930
C,A,Single-player,Casual,8,2374,304930
C,A,Single-player,Casual,8,2374,304930
C,A,Multi-player,Casual,8,2374,304930
C,A,Co-op,Casual,8,2374,304930
C,A,Co-op,Casual,8,2374,304930
C,A,Co-op,Casual,8,2374,304930
C,A,Co-op,Casual,5,119,887830
A,A,Co-op,Racing,8,110,926860
A,B,Single-player,Racing,8,151,934930
A,B,Single-player,Racing,8,151,934930
B,B,Single-player,RPG,9,151237,413150
B,B,Single-player,RPG,9,151237,413150
B,B,Single-player,RPG,9,151237,413150
B,B,Multi-player,RPG,8,185082,252490
B,B,Multi-player,RPG,9,151237,413150
B,B,Co-op,RPG,9,151237,413150
B,B,Co-op,RPG,9,151237,413150
B,A,Co-op,RPG,9,151237,413150
C,A,Co-op,RPG,9,151237,413150
C,A,Single-player,Simulation,9,151237,413150
C,A,Single-player,Simulation,9,151237,413150
C,A,Single-player,Simulation,9,151237,413150
C,A,Single-player,Sports,6,3257,1313860
C,A,Single-player,Sports,6,3257,1313860
C,A,Single-player,Sports,6,3257,1313860
C,A,Single-player,Sports,8,3229,1263850
B,A,Single-player,Strategy,8,30461,289070
B,A,Single-player,Strategy,8,30461,289070
B,A,Multi-player,Strategy,8,30461,289070
B,A,Multi-player,Strategy,8,30461,289070
B,A,Co-op,Strategy,8,4834,570
B,A,Co-op,Strategy,8,4834,570
B,A,Co-op,Strategy,8,4834,570
C,A,Co-op,Strategy,8,4834,570
C,A,Single-player,Indie,9,151237,413150
C,A,Single-player,Indie,9,151237,413150
C,A,Single-player,Indie,9,151237,413150
A,A,Single-player,Indie,9,151237,413150
A,A,Single-player,Indie,9,151237,413150
A,A,Multi-player,Indie,9,304213,105600
A,A,Multi-player,Indie,9,304213,105600
A,A,Multi-player,Action,8,185082,252490
A,A,Multi-player,Action,8,265850,359550
A,A,Multi-player,Racing,8,151,934930
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Indie,9,151237,413150
C,B,Co-op,Adventure,6,81684,346110
C,B,Co-op,Adventure,8,185082,252490
C,B,Co-op,Adventure,8,185082,252490
C,B,Co-op,Casual,8,2374,304930
C,B,Co-op,Simulation,9,274439,4000
A,A,Co-op,Strategy,8,4834,570
B,A,Single-player,Strategy,8,30461,289070
B,A,Single-player,Strategy,8,3487,930210
A,A,Single-player,Casual,8,2375,304930
A,A,Single-player,Casual,8,1654,878750
A,A,Single-player,RPG,9,304213,105600
C,A,Multi-player,RPG,8,185223,252490
C,A,Co-op,Simulation,9,151237,413150
B,A,Single-player,Adventure,6,81684,346110
B,A,Multi-player,Adventure,8,185082,252490
A,A,Single-player,Action,9,304213,105600
A,A,Single-player,Action,8,266104,359550
A,A,Single-player,Casual,8,1654,878750
A,B,Multi-player,Casual,8,82573,1097150
B,A,Single-player,Strategy,8,30430,289070
B,A,Single-player,Strategy,6,5381,882100
C,B,Single-player,Adventure,6,81750,346110
C,B,Single-player,Sports,8,3240,1263850
A,B,Multi-player,Adventure,9,304213,105600
A,A,Single-player,Action,9,304213,105600
A,A,Single-player,Action,9,304213,105600
A,A,Single-player,Action,8,265850,359550
A,A,Single-player,Sports,8,151,934930
A,A,Single-player,Indie,9,151237,413150
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,265850,359550
B,B,Multi-player,Action,8,185082,252490
B,B,Multi-player,Sports,8,82573,1097150
B,B,Multi-player,Sports,8,82573,1097150
B,B,Multi-player,Strategy,8,30430,289070
B,B,Multi-player,Strategy,8,4834,570
C,B,Multi-player,Sports,8,3240,1263850
C,B,Multi-player,Sports,8,3240,1263850
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,6,3257,1313860
C,B,Multi-player,Sports,8,82573,1097150
C,B,Multi-player,Adventure,6,81684,346110
C,B,Multi-player,Adventure,8,185082,252490
C,B,Multi-player,Casual,8,82573,1097150
A,A,Single-player,Action,9,304213,105600
A,A,Single-player,Action,9,304213,105600
A,A,Single-player,Action,9,304213,105600
A,A,Single-player,Action,8,265850,359550
A,A,Single-player,Action,8,265850,359550
A,A,Single-player,Action,9,110812,892970
A,A,Single-player,Adventure,9,304213,105600
A,A,Single-player,Adventure,9,304213,105600
A,A,Single-player,Adventure,9,304213,105600
A,A,Single-player,Adventure,9,109932,892970
A,A,Single-player,Adventure,9,109932,892970
A,A,Single-player,Racing,8,151,934930
A,A,Single-player,Racing,8,151,934930
A,A,Single-player,Racing,8,151,934930
A,A,Single-player,Racing,8,141,882020
A,A,Single-player,Racing,8,141,882020
A,A,Single-player,Racing,8,110,926860
A,A,Single-player,RPG,9,304213,105600
A,A,Single-player,RPG,9,304213,105600
A,A,Single-player,RPG,9,304213,105600
A,A,Single-player,RPG,9,151237,413150
A,A,Single-player,RPG,9,151237,413150
A,A,Single-player,RPG,9,109932,892970
A,A,Single-player,Simulation,9,274439,4000
A,A,Single-player,Simulation,9,274439,4000
A,A,Single-player,Simulation,9,274439,4000
A,A,Single-player,Simulation,9,151237,413150
A,A,Single-player,Simulation,9,151237,413150
A,A,Single-player,Simulation,9,58754,227300
A,A,Single-player,Sports,8,151,934930
A,A,Single-player,Sports,8,151,934930
A,A,Single-player,Sports,8,151,934930
A,A,Single-player,Sports,8,141,882020
A,A,Single-player,Sports,8,141,882020
A,A,Single-player,Sports,5,52,887800
A,A,Single-player,Indie,9,304213,105600
A,A,Single-player,Indie,9,304213,105600
A,A,Single-player,Indie,9,304213,105600
A,A,Single-player,Indie,9,274439,4000
A,A,Single-player,Indie,9,274439,4000
A,A,Single-player,Indie,9,151237,413150
B,A,Single-player,Action,9,304213,105600
B,A,Single-player,Action,9,304213,105600
B,A,Single-player,Action,9,304213,105600
B,A,Single-player,Action,8,265850,359550
B,A,Single-player,Action,8,265850,359550
B,A,Single-player,Action,6,81684,346110
B,A,Single-player,Adventure,9,304213,105600
B,A,Single-player,Adventure,9,304213,105600
B,A,Single-player,Adventure,9,304213,105600
B,A,Single-player,Adventure,6,81684,346110
B,A,Single-player,Adventure,6,81684,346110
B,A,Single-player,Adventure,9,109932,892970
B,A,Single-player,Racing,8,151,934930
B,A,Single-player,Racing,8,151,934930
B,A,Single-player,Racing,8,151,934930
B,A,Single-player,Racing,8,141,882020
B,A,Single-player,Racing,8,141,882020
B,A,Single-player,Racing,8,110,926860
B,A,Single-player,RPG,9,304213,105600
B,A,Single-player,RPG,9,304213,105600
B,A,Single-player,RPG,9,304213,105600
B,A,Single-player,RPG,9,151237,413150
B,A,Single-player,RPG,9,151237,413150
B,A,Single-player,RPG,6,81684,346110
B,A,Single-player,Simulation,9,274439,4000
B,A,Single-player,Simulation,9,274439,4000
B,A,Single-player,Simulation,9,274439,4000
B,A,Single-player,Simulation,9,151237,413150
B,A,Single-player,Simulation,9,151237,413150
B,A,Single-player,Simulation,9,58754,227300
B,A,Single-player,Sports,8,151,934930
B,A,Single-player,Sports,8,151,934930
B,A,Single-player,Sports,8,151,934930
B,A,Single-player,Sports,8,141,882020
B,A,Single-player,Sports,8,141,882020
B,A,Single-player,Sports,5,52,887800
B,A,Single-player,Indie,9,304213,105600
B,A,Single-player,Indie,9,304213,105600
B,A,Single-player,Indie,9,304213,105600
B,A,Single-player,Indie,9,274439,4000
B,A,Single-player,Indie,9,274439,4000
B,A,Single-player,Indie,9,151237,413150
C,B,Multi-player,Action,9,304213,105600
C,B,Multi-player,Action,9,304213,105600
C,B,Multi-player,Action,9,304213,105600
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,185082,252490
C,B,Multi-player,Action,9,304213,105600
C,B,Multi-player,Action,9,304213,105600
C,B,Multi-player,Action,9,304213,105600
C,B,Multi-player,Action,8,265850,359550
C,B,Multi-player,Action,8,265850,359550
